id,type,code_name,repository,commit_hash
526,function,org.apache.syncope.client.ui.commons.ConnIdSpecialName.ConnIdSpecialName,git@github.com:apache/syncope.git,114c412afbfba24ffb4fbc804e5308a823a16a78
527,function,org.apache.syncope.client.ui.commons.ConnIdSpecialName.ConnIdSpecialName,git@github.com:apache/syncope.git,114c412afbfba24ffb4fbc804e5308a823a16a78
528,class,org.apache.tez.runtime.library.common.writers.UnorderedPartitionedKVWriter,git@github.com:apache/tez.git,d5675c332497c1ac1dedefdf91e87476b5c0d7a9
529,class,org.apache.tez.runtime.library.common.writers.UnorderedPartitionedKVWriter,git@github.com:apache/tez.git,d5675c332497c1ac1dedefdf91e87476b5c0d7a9
530,function,org.apache.tika.parser.ocr.TesseractOCRConfig#getImageMagickPath,git@github.com:apache/tika.git,4131c6e30f2e0eb1feb85e0f7576531d4e830468
531,function,org.apache.tika.parser.ocr.TesseractOCRConfig#getImageMagickPath,git@github.com:apache/tika.git,4131c6e30f2e0eb1feb85e0f7576531d4e830468
532,function,org.apache.tez.runtime.library.common.shuffle.orderedgrouped.ShuffleHeader#writeLength,git@github.com:apache/tez.git,d5675c332497c1ac1dedefdf91e87476b5c0d7a9
533,function,org.apache.tez.runtime.library.common.shuffle.orderedgrouped.ShuffleHeader#writeLength,git@github.com:apache/tez.git,d5675c332497c1ac1dedefdf91e87476b5c0d7a9
534,class,org.apache.tika.parser.multiple.SupplementingParser,git@github.com:apache/tika.git,4131c6e30f2e0eb1feb85e0f7576531d4e830468
535,class,org.apache.tika.parser.multiple.SupplementingParser,git@github.com:apache/tika.git,4131c6e30f2e0eb1feb85e0f7576531d4e830468
536,class,org.apache.tapestry5.internal.services.RequestSecurityManagerImpl,git@github.com:apache/tapestry-5.git,542950fc0266e8f9be1aacb5d6ba92146ae20f1b
537,class,org.apache.tapestry5.internal.services.RequestSecurityManagerImpl,git@github.com:apache/tapestry-5.git,542950fc0266e8f9be1aacb5d6ba92146ae20f1b
538,class,org.apache.tapestry5.corelib.base.AbstractConditional,git@github.com:apache/tapestry-5.git,542950fc0266e8f9be1aacb5d6ba92146ae20f1b
539,class,org.apache.tapestry5.corelib.base.AbstractConditional,git@github.com:apache/tapestry-5.git,542950fc0266e8f9be1aacb5d6ba92146ae20f1b
540,function,org.apache.tapestry5.internal.plastic.asm.util.Printer#visitMethodTypeAnnotation int|TypePath|String|boolean,git@github.com:apache/tapestry-5.git,542950fc0266e8f9be1aacb5d6ba92146ae20f1b
541,function,org.apache.tapestry5.internal.plastic.asm.util.Printer#visitMethodTypeAnnotation int|TypePath|String|boolean,git@github.com:apache/tapestry-5.git,542950fc0266e8f9be1aacb5d6ba92146ae20f1b
542,function,org.apache.tapestry5.dom.Html5MarkupModel.Html5MarkupModel boolean,git@github.com:apache/tapestry-5.git,542950fc0266e8f9be1aacb5d6ba92146ae20f1b
543,function,org.apache.tapestry5.dom.Html5MarkupModel.Html5MarkupModel boolean,git@github.com:apache/tapestry-5.git,542950fc0266e8f9be1aacb5d6ba92146ae20f1b
544,function,org.apache.tapestry5.internal.plastic.asm.tree.analysis.SourceValue#getSize,git@github.com:apache/tapestry-5.git,542950fc0266e8f9be1aacb5d6ba92146ae20f1b
545,function,org.apache.tapestry5.internal.plastic.asm.tree.analysis.SourceValue#getSize,git@github.com:apache/tapestry-5.git,542950fc0266e8f9be1aacb5d6ba92146ae20f1b
546,class,org.apache.tinkerpop.gremlin.process.traversal.step.util.event.Event.ElementPropertyChangedEvent,git@github.com:apache/tinkerpop.git,7d9df0f0acf08f9e675ca7b337fc5e0243c09b53
547,class,org.apache.tinkerpop.gremlin.process.traversal.step.util.event.Event.ElementPropertyChangedEvent,git@github.com:apache/tinkerpop.git,7d9df0f0acf08f9e675ca7b337fc5e0243c09b53
548,function,org.apache.tinkerpop.gremlin.process.traversal.dsl.graph.GraphTraversalSource#withSideEffect String|Supplier<A>|BinaryOperator<A>,git@github.com:apache/tinkerpop.git,7d9df0f0acf08f9e675ca7b337fc5e0243c09b53
549,function,org.apache.tinkerpop.gremlin.process.traversal.dsl.graph.GraphTraversalSource#withSideEffect String|Supplier<A>|BinaryOperator<A>,git@github.com:apache/tinkerpop.git,7d9df0f0acf08f9e675ca7b337fc5e0243c09b53
550,class,org.apache.uima.ruta.action.TrimAction,git@github.com:apache/uima-ruta.git,08efb111a775b4ba01cf048ac699aa9c22188325
551,class,org.apache.uima.ruta.action.TrimAction,git@github.com:apache/uima-ruta.git,08efb111a775b4ba01cf048ac699aa9c22188325
552,function,org.apache.unomi.persistence.elasticsearch.ElasticSearchPersistenceServiceImpl#getPropertyMapping String|String,git@github.com:apache/unomi.git,1745c5221401a05e66ebf80fbe9cce2790442b3a
553,function,org.apache.unomi.persistence.elasticsearch.ElasticSearchPersistenceServiceImpl#getPropertyMapping String|String,git@github.com:apache/unomi.git,1745c5221401a05e66ebf80fbe9cce2790442b3a
554,class,org.apache.unomi.mailchimp.services.internal.MailChimpServiceImpl,git@github.com:apache/unomi.git,1745c5221401a05e66ebf80fbe9cce2790442b3a
555,class,org.apache.unomi.mailchimp.services.internal.MailChimpServiceImpl,git@github.com:apache/unomi.git,1745c5221401a05e66ebf80fbe9cce2790442b3a
556,class,org.apache.catalina.valves.AbstractAccessLogValve.SessionAttributeElement,git@github.com:apache/tomcat.git,a9c1a0661198d9ba37c1facd8385fe05d538c4ad
557,class,org.apache.catalina.valves.AbstractAccessLogValve.SessionAttributeElement,git@github.com:apache/tomcat.git,a9c1a0661198d9ba37c1facd8385fe05d538c4ad
558,class,org.apache.catalina.tribes.group.interceptors.EncryptInterceptor.ChannelConfigException,git@github.com:apache/tomcat.git,a9c1a0661198d9ba37c1facd8385fe05d538c4ad
559,class,org.apache.catalina.tribes.group.interceptors.EncryptInterceptor.ChannelConfigException,git@github.com:apache/tomcat.git,a9c1a0661198d9ba37c1facd8385fe05d538c4ad
560,class,org.apache.uima.ruta.cde.ui.DocumentTableLabelProvider,git@github.com:apache/uima-ruta.git,08efb111a775b4ba01cf048ac699aa9c22188325
561,class,org.apache.uima.ruta.cde.ui.DocumentTableLabelProvider,git@github.com:apache/uima-ruta.git,08efb111a775b4ba01cf048ac699aa9c22188325
562,function,org.apache.catalina.startup.VersionLoggerListener#setLogArgs boolean,git@github.com:apache/tomcat.git,a9c1a0661198d9ba37c1facd8385fe05d538c4ad
563,function,org.apache.catalina.startup.VersionLoggerListener#setLogArgs boolean,git@github.com:apache/tomcat.git,a9c1a0661198d9ba37c1facd8385fe05d538c4ad
564,function,org.apache.el.parser.ELParser#DynamicExpression,git@github.com:apache/tomcat.git,a9c1a0661198d9ba37c1facd8385fe05d538c4ad
565,function,org.apache.el.parser.ELParser#DynamicExpression,git@github.com:apache/tomcat.git,a9c1a0661198d9ba37c1facd8385fe05d538c4ad
566,function,org.apache.tomcat.util.net.SSLHostConfig.adjustRelativePath String,git@github.com:apache/tomcat.git,a9c1a0661198d9ba37c1facd8385fe05d538c4ad
567,function,org.apache.tomcat.util.net.SSLHostConfig.adjustRelativePath String,git@github.com:apache/tomcat.git,a9c1a0661198d9ba37c1facd8385fe05d538c4ad
568,class,org.apache.tomcat.dbcp.dbcp2.managed.XAConnectionFactory,git@github.com:apache/tomcat.git,a9c1a0661198d9ba37c1facd8385fe05d538c4ad
569,class,org.apache.tomcat.dbcp.dbcp2.managed.XAConnectionFactory,git@github.com:apache/tomcat.git,a9c1a0661198d9ba37c1facd8385fe05d538c4ad
570,function,org.apache.tomcat.util.descriptor.web.ContextResourceLink#equals Object,git@github.com:apache/tomcat.git,a9c1a0661198d9ba37c1facd8385fe05d538c4ad
571,function,org.apache.tomcat.util.descriptor.web.ContextResourceLink#equals Object,git@github.com:apache/tomcat.git,a9c1a0661198d9ba37c1facd8385fe05d538c4ad
572,function,org.apache.catalina.ha.session.DeltaSession#endAccess,git@github.com:apache/tomcat.git,a9c1a0661198d9ba37c1facd8385fe05d538c4ad
573,function,org.apache.catalina.ha.session.DeltaSession#endAccess,git@github.com:apache/tomcat.git,a9c1a0661198d9ba37c1facd8385fe05d538c4ad
574,function,"org.apache.tomcat.dbcp.dbcp2.datasources.PerUserPoolDataSource#setPerUserTestWhileIdle Map<String, Boolean>",git@github.com:apache/tomcat.git,a9c1a0661198d9ba37c1facd8385fe05d538c4ad
575,function,"org.apache.tomcat.dbcp.dbcp2.datasources.PerUserPoolDataSource#setPerUserTestWhileIdle Map<String, Boolean>",git@github.com:apache/tomcat.git,a9c1a0661198d9ba37c1facd8385fe05d538c4ad
576,function,org.apache.uima.tools.viewer.CasTreeViewer.getText String,git@github.com:apache/uima-uimaj.git,e79c33b5a3e4c25afb407e68e98df1829a68e5a7
577,function,org.apache.uima.tools.viewer.CasTreeViewer.getText String,git@github.com:apache/uima-uimaj.git,e79c33b5a3e4c25afb407e68e98df1829a68e5a7
578,class,org.apache.uima.tools.cvd.control.FileSaveEventHandler,git@github.com:apache/uima-uimaj.git,e79c33b5a3e4c25afb407e68e98df1829a68e5a7
579,class,org.apache.uima.tools.cvd.control.FileSaveEventHandler,git@github.com:apache/uima-uimaj.git,e79c33b5a3e4c25afb407e68e98df1829a68e5a7
580,function,org.apache.velocity.util.introspection.DeprecatedCheckUberspector#init,git@github.com:apache/velocity-engine.git,c85f3e586f00fea89dc21253d017baa180957b75
